Week,Education for Nature - Vietnam: (Vietnam),World Wide Fund for Nature: (Vietnam)
2016-06-05,0,8
2016-06-12,0,14
2016-06-19,0,21
2016-06-26,0,0
2016-07-03,0,8
2016-07-10,0,0
2016-07-17,0,16
2016-07-24,0,0
2016-07-31,0,0
2016-08-07,0,8
2016-08-14,8,0
2016-08-21,0,32
2016-08-28,0,24
2016-09-04,0,16
2016-09-11,8,8
2016-09-18,0,8
2016-09-25,0,8
2016-10-02,0,8
2016-10-09,0,0
2016-10-16,0,8
2016-10-23,0,0
2016-10-30,0,8
2016-11-06,0,8
2016-11-13,0,8
2016-11-20,0,8
2016-11-27,0,0
2016-12-04,7,0
2016-12-11,0,30
2016-12-18,0,8
2016-12-25,0,0
2017-01-01,0,0
2017-01-08,0,8
2017-01-15,0,25
2017-01-22,0,19
2017-01-29,0,0
2017-02-05,0,8
2017-02-12,8,15
2017-02-19,7,22
2017-02-26,0,15
2017-03-05,0,29
2017-03-12,7,65
2017-03-19,0,29
2017-03-26,0,22
2017-04-02,0,36
2017-04-09,0,50
2017-04-16,0,7
2017-04-23,0,22
2017-04-30,0,0
2017-05-07,0,36
2017-05-14,8,31
2017-05-21,0,16
2017-05-28,0,8
2017-06-04,0,16
2017-06-11,8,17
2017-06-18,0,8
2017-06-25,0,0
2017-07-02,0,17
2017-07-09,0,17
2017-07-16,0,8
2017-07-23,0,8
2017-07-30,0,8
2017-08-06,0,0
2017-08-13,0,0
2017-08-20,0,8
2017-08-27,0,8
2017-09-03,17,8
2017-09-10,0,16
2017-09-17,0,16
2017-09-24,0,0
2017-10-01,0,8
2017-10-08,0,0
2017-10-15,0,0
2017-10-22,0,8
2017-10-29,0,42
2017-11-05,0,16
2017-11-12,8,0
2017-11-19,0,8
2017-11-26,0,8
2017-12-03,0,34
2017-12-10,0,33
2017-12-17,0,9
2017-12-24,0,8
2017-12-31,0,16
2018-01-07,0,32
2018-01-14,0,24
2018-01-21,0,16
2018-01-28,0,0
2018-02-04,0,18
2018-02-11,0,21
2018-02-18,0,35
2018-02-25,8,38
2018-03-04,8,23
2018-03-11,0,38
2018-03-18,0,54
2018-03-25,0,23
2018-04-01,0,38
2018-04-08,0,8
2018-04-15,0,23
2018-04-22,0,8
2018-04-29,0,8
2018-05-06,0,8
2018-05-13,15,8
2018-05-20,0,8
2018-05-27,0,0
2018-06-03,0,0
2018-06-10,0,0
2018-06-17,0,0
2018-06-24,0,0
2018-07-01,7,0
2018-07-08,0,14
2018-07-15,0,15
2018-07-22,0,23
2018-07-29,0,0
2018-08-05,0,7
2018-08-12,0,7
2018-08-19,0,7
2018-08-26,0,22
2018-09-02,16,8
2018-09-09,0,8
2018-09-16,0,0
2018-09-23,8,23
2018-09-30,0,8
2018-10-07,0,8
2018-10-14,0,0
2018-10-21,0,8
2018-10-28,0,0
2018-11-04,0,24
2018-11-11,0,8
2018-11-18,0,0
2018-11-25,0,16
2018-12-02,0,16
2018-12-09,0,0
2018-12-16,8,15
2018-12-23,0,23
2018-12-30,0,8
2019-01-06,0,7
2019-01-13,8,38
2019-01-20,0,23
2019-01-27,0,0
2019-02-03,0,0
2019-02-10,0,7
2019-02-17,0,42
2019-02-24,0,35
2019-03-03,0,36
2019-03-10,0,28
2019-03-17,0,47
2019-03-24,0,56
2019-03-31,7,22
2019-04-07,0,7
2019-04-14,0,22
2019-04-21,0,14
2019-04-28,0,22
2019-05-05,7,7
2019-05-12,0,7
2019-05-19,0,0
2019-05-26,0,34
2019-06-02,0,32
2019-06-09,0,7
2019-06-16,0,7
2019-06-23,6,13
2019-06-30,7,7
2019-07-07,7,7
2019-07-14,0,26
2019-07-21,7,20
2019-07-28,0,0
2019-08-04,0,13
2019-08-11,0,0
2019-08-18,0,13
2019-08-25,0,34
2019-09-01,0,0
2019-09-08,0,13
2019-09-15,7,7
2019-09-22,0,0
2019-09-29,0,7
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,27
2019-10-27,0,7
2019-11-03,0,0
2019-11-10,0,6
2019-11-17,0,13
2019-11-24,6,6
2019-12-01,0,0
2019-12-08,7,6
2019-12-15,0,25
2019-12-22,0,13
2019-12-29,0,20
2020-01-05,0,19
2020-01-12,0,13
2020-01-19,0,16
2020-01-26,0,15
2020-02-02,0,18
2020-02-09,0,18
2020-02-16,0,12
2020-02-23,6,22
2020-03-01,0,29
2020-03-08,0,28
2020-03-15,0,33
2020-03-22,17,22
2020-03-29,0,37
2020-04-05,0,13
2020-04-12,0,19
2020-04-19,6,96
2020-04-26,0,20
2020-05-03,0,25
2020-05-10,6,25
2020-05-17,0,30
2020-05-24,0,18
2020-05-31,6,12
2020-06-07,0,55
2020-06-14,6,18
2020-06-21,0,30
2020-06-28,0,24
2020-07-05,0,0
2020-07-12,0,12
2020-07-19,0,19
2020-07-26,0,18
2020-08-02,11,17
2020-08-09,0,11
2020-08-16,0,29
2020-08-23,0,0
2020-08-30,6,0
2020-09-06,0,12
2020-09-13,6,30
2020-09-20,0,18
2020-09-27,6,25
2020-10-04,0,0
2020-10-11,0,6
2020-10-18,7,7
2020-10-25,0,25
2020-11-01,6,19
2020-11-08,0,6
2020-11-15,0,13
2020-11-22,0,6
2020-11-29,0,6
2020-12-06,0,19
2020-12-13,0,0
2020-12-20,0,6
2020-12-27,0,13
2021-01-03,0,13
2021-01-10,0,26
2021-01-17,0,26
2021-01-24,6,19
2021-01-31,6,13
2021-02-07,0,16
2021-02-14,0,7
2021-02-21,0,23
2021-02-28,0,61
2021-03-07,0,32
2021-03-14,0,47
2021-03-21,0,100
2021-03-28,0,43
2021-04-04,0,56
2021-04-11,6,24
2021-04-18,0,18
2021-04-25,6,18
2021-05-02,0,40
2021-05-09,0,6
2021-05-16,0,11
2021-05-23,0,0
2021-05-30,0,10
